comp_ticker,comp_name,total_esg_score,total_esg_score_percentile,environmental_risk_score,social_risk_score,governance_risk_score,controversy_level,last_update,flag_alcoholic_beverages,flag_adult_entertainment,flag_gambling,flag_tobacco_products,flag_animal_testing,flag_fur_and_specialty_leather,flag_controversial_weapons,flag_small_arms,flag_catholic_values,flag_gmo,flag_military_contracting,flag_pesticides,flag_thermal_coal,flag_palm_oil
NVSEF,Novartis AG,19,19,0.0,8.0,11.0,3.0,3/2021,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
CRM,"salesforce.com, inc.",11,2,0.0,6.0,4.0,2.0,3/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MRK,"Merck & Co., Inc.",23,31,1.0,11.0,11.0,3.0,3/2021,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
AVGO,Broadcom Inc.,26,41,9.0,9.0,8.0,3.0,3/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACGBF,Agricultural Bank of China Limited,32,63,2.0,15.0,15.0,2.0,3/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WFC,Wells Fargo & Company,31,62,1.0,15.0,15.0,5.0,3/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABBV,AbbVie Inc.,29,54,1.0,17.0,11.0,3.0,3/2021,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
PEP,"PepsiCo, Inc.",18,15,5.0,8.0,5.0,3.0,3/2021,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,Citigroup Inc.,26,44,1.0,11.0,13.0,4.0,3/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LLY,Eli Lilly and Company,31,59,2.0,18.0,10.0,3.0,3/2021,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMO,Thermo Fisher Scientific Inc.,14,6,2.0,6.0,6.0,2.0,3/2021,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
BHPLF,BHP Group,32,65,17.0,10.0,5.0,4.0,3/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ACN,Accenture plc,11,3,1.0,5.0,6.0,2.0,3/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NONOF,Novo Nordisk A/S,22,29,1.0,13.0,9.0,3.0,3/2021,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
MCD,McDonald's Corporation,24,35,4.0,15.0,6.0,3.0,3/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SFTBF,SoftBank Group Corp.,29,53,5.0,15.0,9.0,2.0,3/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TXN,Texas Instruments Incorporated,18,14,6.0,5.0,6.0,2.0,3/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RYDAF,Royal Dutch Shell plc,36,76,18.0,9.0,9.0,4.0,3/2021,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MDT,Medtronic plc,24,36,3.0,14.0,8.0,3.0,3/2021,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RYDBF,Royal Dutch Shell plc,37,79,19.0,10.0,9.0,4.0,8/2020,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMUS,"T-Mobile US, Inc.",27,47,5.0,15.0,8.0,3.0,3/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAIGF,AIA Group Limited,14,6,0.0,6.0,8.0,2.0,3/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DHR,Danaher Corporation,33,67,5.0,18.0,10.0,2.0,3/2021,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
QCOM,QUALCOMM Incorporated,19,19,6.0,3.0,9.0,4.0,3/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BACHF,Bank of China Limited,35,73,2.0,18.0,14.0,2.0,3/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HON,Honeywell International Inc.,31,60,10.0,12.0,9.0,3.0,3/2021,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
BA,The Boeing Company,36,77,8.0,20.0,9.0,4.0,3/2021,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
VLKPF,Volkswagen AG,41,87,13.0,11.0,17.0,5.0,3/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
SAPGF,SAP SE,10,2,1.0,4.0,6.0,2.0,3/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COST,Costco Wholesale Corporation,22,29,5.0,11.0,6.0,3.0,3/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MS,Morgan Stanley,23,30,1.0,12.0,9.0,3.0,3/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NEE,"NextEra Energy, Inc.",29,54,15.0,9.0,6.0,2.0,3/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
RTNTF,Rio Tinto Group,33,66,13.0,12.0,7.0,4.0,3/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
UNP,Union Pacific Corporation,22,29,8.0,11.0,4.0,2.0,3/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMGN,Amgen Inc.,19,18,0.0,13.0,6.0,2.0,3/2021,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
PCCYF,PetroChina Company Limited,56,99,24.0,19.0,13.0,5.0,3/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMY,Bristol-Myers Squibb Company,23,30,0.0,15.0,7.0,2.0,3/2021,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
UPS,"United Parcel Service, Inc.",21,23,6.0,9.0,6.0,3.0,3/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PM,Philip Morris International Inc.,24,37,4.0,11.0,9.0,3.0,3/2021,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JDCMF,"JD.com, Inc.",25,38,7.0,9.0,9.0,2.0,3/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RY,Royal Bank of Canada,17,12,1.0,10.0,6.0,3.0,3/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AZNCF,AstraZeneca PLC,27,45,2.0,15.0,10.0,3.0,3/2021,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
SBUX,Starbucks Corporation,21,24,3.0,14.0,5.0,3.0,3/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNEJF,Sony Corporation,14,6,3.0,6.0,6.0,2.0,3/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
